,CSP,Sexe,Salaire,Age
1,Cadre,Femme,1389.39001075036,29
2,Cadre,Femme,1481.22467497967,26
3,Cadre,Femme,2008.59455846417,19
4,Cadre,Femme,2216.09841828993,30
5,Cadre,Femme,2341.60591363091,23
6,Cadre,Femme,2395.65890531215,26
7,Cadre,Femme,2497.92654272774,20
8,Cadre,Femme,2500.1275310965,26
9,Cadre,Femme,2598.48381773937,24
10,Cadre,Femme,2610.59483449443,29
11,Cadre,Femme,2667.93890136375,19
12,Cadre,Femme,2717.05378136323,26
13,Cadre,Femme,2767.21837205925,21
14,Cadre,Femme,2812.67802407218,26
15,Cadre,Femme,2818.77909472296,31
16,Cadre,Femme,2850.21560097271,32
17,Cadre,Femme,2874.93401693353,30
18,Cadre,Femme,2890.93001841741,33
19,Cadre,Femme,2903.91600330898,30
20,Cadre,Femme,2919.8239905879,31
21,Cadre,Femme,2935.20378436152,29
22,Cadre,Femme,2937.6121290738,20
23,Cadre,Femme,2946.1706473469,26
24,Cadre,Femme,2952.33192307296,22
25,Cadre,Femme,2969.37655749145,21
26,Cadre,Femme,2982.09014244844,31
27,Cadre,Femme,3024.73973223224,19
28,Cadre,Femme,3029.703033982,31
29,Cadre,Femme,3039.96900313749,24
30,Cadre,Femme,3046.1360399,30
31,Cadre,Femme,3052.54957208548,27
32,Cadre,Femme,3081.16732031503,27
33,Cadre,Femme,3100.81705280478,32
34,Cadre,Femme,3105.24038444792,32
35,Cadre,Femme,3117.30911671009,29
36,Cadre,Femme,3132.26897227318,24
37,Cadre,Femme,3134.12301073954,28
38,Cadre,Femme,3147.45819624509,33
39,Cadre,Femme,3162.8348774659,21
40,Cadre,Femme,3170.96811000267,24
41,Cadre,Femme,3189.7204924608,21
42,Cadre,Femme,3192.61425374336,28
43,Cadre,Femme,3195.23939767624,32
44,Cadre,Femme,3195.60788834446,29
45,Cadre,Femme,3207.10284469001,21
46,Cadre,Femme,3208.02250214509,26
47,Cadre,Femme,3217.142535846,29
48,Cadre,Femme,3220.69204792211,30
49,Cadre,Femme,3224.84716118802,31
50,Cadre,Femme,3227.27188880977,32
51,Cadre,Femme,3233.98138242189,33
52,Cadre,Femme,3237.71356739515,33
53,Cadre,Femme,3239.74601129059,22
54,Cadre,Femme,3249.4709139681,21
55,Cadre,Femme,3253.12065569401,28
56,Cadre,Femme,3271.24693217922,29
57,Cadre,Femme,3271.57484714771,33
58,Cadre,Femme,3278.13706190387,27
59,Cadre,Femme,3281.28556216817,29
60,Cadre,Femme,3297.79666957689,21
61,Cadre,Femme,3305.93170590315,23
62,Cadre,Femme,3310.43341341347,32
63,Cadre,Femme,3317.93277120916,33
64,Cadre,Femme,3331.96105544533,34
65,Cadre,Femme,3345.14535306693,27
66,Cadre,Femme,3347.63199792433,26
67,Cadre,Femme,3368.29749835553,31
68,Cadre,Femme,3370.72608836049,27
69,Cadre,Femme,3386.98814987253,35
70,Cadre,Femme,3414.82058168573,35
71,Cadre,Femme,3415.757827521,22
72,Cadre,Femme,3417.08304559271,24
73,Cadre,Femme,3417.71776199783,26
74,Cadre,Femme,3419.42085049805,24
75,Cadre,Femme,3434.97321502618,36
76,Cadre,Femme,3446.76322176224,34
77,Cadre,Femme,3468.22900271996,31
78,Cadre,Femme,3475.07385070017,24
79,Cadre,Femme,3482.55604452248,28
80,Cadre,Femme,3526.45287765865,30
81,Cadre,Femme,3532.45760753891,33
82,Cadre,Femme,3535.71934873833,26
83,Cadre,Femme,3547.59884210529,26
84,Cadre,Femme,3556.99984783617,25
85,Cadre,Femme,3565.98398909344,27
86,Cadre,Femme,3578.44305848812,27
87,Cadre,Femme,3581.78039616937,23
88,Cadre,Femme,3582.26757661814,29
89,Cadre,Femme,3594.96965252947,34
90,Cadre,Femme,3596.53889967467,31
91,Cadre,Femme,3605.14624717281,36
92,Cadre,Femme,3614.61828628851,26
93,Cadre,Femme,3638.75611890869,27
94,Cadre,Femme,3649.07413339095,37
95,Cadre,Femme,3649.34119071642,28
96,Cadre,Femme,3650.20768268938,32
97,Cadre,Femme,3651.33617427946,28
98,Cadre,Femme,3651.50356106493,24
99,Cadre,Femme,3651.94297737827,34
100,Cadre,Femme,3654.22190021644,33
101,Cadre,Femme,3660.72167140886,27
102,Cadre,Femme,3660.96415537258,36
103,Cadre,Femme,3662.52628242239,25
104,Cadre,Femme,3664.00290864021,26
105,Cadre,Femme,3668.73314421804,27
106,Cadre,Femme,3673.04889275052,28
107,Cadre,Femme,3677.54424839406,25
108,Cadre,Femme,3678.54360605457,35
109,Cadre,Femme,3689.12289751891,33
110,Cadre,Femme,3690.25820931223,29
111,Cadre,Femme,3690.97468532855,31
112,Cadre,Femme,3698.62978565446,28
113,Cadre,Femme,3707.17807092127,32
114,Cadre,Femme,3716.0806589063,35
115,Cadre,Femme,3723.03797875822,30
116,Cadre,Femme,3732.03742808843,31
117,Cadre,Femme,3745.396897647,28
118,Cadre,Femme,3750.99371720072,33
119,Cadre,Femme,3765.5166201874,31
