Agence,Gare,Global_2018,Accessibilite_2018,Proprete_2018,Confort_2018
DGGP,AEROPORT CDG2 TGV ROISSY,7.31,7.94,7.91,7
DGGP,MARNE LA VALLEE CHESSY,7.35,7.63,7.94,6.67
DGGP,MASSY TGV,6.97,7.42,7.95,6.88
DGGP,PARIS AUSTERLITZ,6.86,7.59,7.38,6.92
DGGP,PARIS BERCY,7.1,7.63,7.69,6.92
DGGP,PARIS GARE DE L'EST,7.17,7.82,7.28,6.57
DGGP,PARIS GARE DE LYON,7.07,7.59,7.37,6.69
DGGP,PARIS GARE DU NORD,6.51,7.11,6.7,5.87
DGGP,PARIS MONTPARNASSE,6.76,7.62,7.2,6.31
DGGP,PARIS ST LAZARE,7.17,7.43,7.5,6.64
Centre Est Rhone Alpin,AIX LES BAINS LE REVARD,7.26,7.65,7.85,7.15
Centre Est Rhone Alpin,ANNECY,7.63,7.98,8.09,7.41
Centre Est Rhone Alpin,BELFORT MONTBELIARD TGV,8.27,7.33,8.75,8.19
Centre Est Rhone Alpin,BELLEGARDE,7.57,7.23,8.22,7.48
Centre Est Rhone Alpin,BESANCON FRANCHE COMTE TGV,7.97,7.27,9.02,7.82
Centre Est Rhone Alpin,BESANCON VIOTTE,7.63,7.98,7.85,7.59
Centre Est Rhone Alpin,BOURG EN BRESSE,7.86,8.24,8.45,7.22
Centre Est Rhone Alpin,BOURG ST MAURICE,7.87,8.08,7.74,7.42
Centre Est Rhone Alpin,CHAMBERY CHALLES LES EAUX,6.86,7.43,7.59,7
Centre Est Rhone Alpin,CLERMONT FERRAND,7.4,7.76,7.95,7.21
Centre Est Rhone Alpin,DIJON VILLE,7.66,8.25,8.02,7.4
Centre Est Rhone Alpin,GRENOBLE,7.43,8.12,7.81,7.32
Centre Est Rhone Alpin,LE CREUSOT MONTCEAU MONTCHANIN,7.83,7.54,8.6,7.55
Centre Est Rhone Alpin,LYON PART DIEU,6.75,7.74,7.15,6.21
Centre Est Rhone Alpin,LYON PERRACHE,7.14,8.01,7.72,7.16
Centre Est Rhone Alpin,LYON SAINT EXUPERY TGV,7.55,7.65,8.21,7.23
Centre Est Rhone Alpin,MACON LOCHE TGV,8.27,7.31,8.55,7.97
Centre Est Rhone Alpin,MOUTIERS SALINS,7.08,8.16,7.56,6.7
Centre Est Rhone Alpin,NEVERS,7.17,7.58,7.97,7.39
Centre Est Rhone Alpin,ST ETIENNE CHATEAUCREUX,7.48,7.99,7.7,7.3
Centre Est Rhone Alpin,VALENCE TGV RHONE ALPES SUD,7.27,7.46,7.97,7.24
Centre Est Rhone Alpin,VICHY,7.67,7.93,7.89,6.85
Centre Ouest,ANGERS ST LAUD,7.69,8.16,7.77,6.63
Centre Ouest,AURAY,7.23,7.28,7.9,6.66
Centre Ouest,BLOIS-CHAMBORD,7.06,7.56,7.77,6.92
Centre Ouest,BOURGES,6.93,7.29,7.05,6.93
Centre Ouest,BREST,7.54,8.6,8.25,7.12
Centre Ouest,CHATEAUROUX,7.74,8.09,8.46,7.73
Centre Ouest,GUINGAMP,8.06,8.22,8.46,7.66
Centre Ouest,LA BAULE ESCOUBLAC,7.95,8.03,8.49,7.38
Centre Ouest,LA ROCHE SUR YON,7.5,7.77,7.71,6.65
Centre Ouest,LAVAL,7.72,7.43,8.32,7.31
Centre Ouest,LE MANS,7.6,8.15,7.79,7.3
Centre Ouest,LES AUBRAIS,7.01,7.2,7.58,7
Centre Ouest,LORIENT SUD BRETAGNE,8.05,7.79,8.28,7.95
Centre Ouest,MORLAIX,7.97,7.31,8.58,7.81
Centre Ouest,NANTES,6.8,7.56,7.7,6.66
Centre Ouest,ORLEANS,7.71,8.07,8.04,7.85
Centre Ouest,QUIMPER,7.14,7.64,7.82,6.91
Centre Ouest,RENNES,5.96,6.59,7.19,6.22
Centre Ouest,ST BRIEUC,7.29,5.86,8.27,7.71
Centre Ouest,ST MALO,7.67,8.2,8.04,7.23
Centre Ouest,ST NAZAIRE,7.19,7.66,7.77,7.46
Centre Ouest,ST PIERRE DES CORPS,7.08,6.92,7.48,6.79
Centre Ouest,TOURS,7.91,8.49,8.4,7.45
Centre Ouest,VANNES,7.5,7.71,7.76,6.89
Centre Ouest,VENDOME VILLIERS SUR LOIR,8.22,7.52,8.39,7.44
Centre Ouest,VIERZON VILLE,7.11,7.39,7.42,7.4
Est Europeen,CHAMPAGNE ARDENNE,7.92,7.56,8.57,7.72
Est Europeen,CHARLEVILLE MEZIERES,7.25,8.06,8.09,7.19
