IdStation,CodePostal,TypeRoute,Longitude,Latitude
1000001,01000,R,519791,4620114
1000002,01000,R,522767,4621842
1000004,01000,R,524500,4618800
1000005,01000,R,519942.024022,4620093.59235
1000006,01000,R,523758,4620754
1000007,01000,R,524891,4620105
1000008,01000,R,524070.357,4619941.651
1000009,01000,R,522935,4619566
1000010,01000,R,524350.637881,4619851.83794
1000012,01000,R,519963,4620090
1000013,01000,R,524350.637881,4619851.83794
1090001,01090,R,477500,4609600
1100001,01100,R,566282,4628404
1100002,01100,R,564440.447,4625029.84
1100003,01100,R,564134,4624966
1100004,01100,R,566000,4627200
1100006,01100,R,564800,4626200
1100007,01100,R,564134,4624966
1110001,01110,R,559900,4597800
1120002,01120,A,507404.780227,4584715.18044
1120003,01120,A,505543,4585103
1120004,01120,R,505900,4585300
1120005,01120,R,504778,4584681
1120006,01120,R,504093,4584641
1120007,01120,A,507000,4584500
1120008,01120,A,507404.780227,4584715.18044
1130001,01130,R,560352,4615785
1130002,01130,R,569100,4616700
1130003,01130,R,560352,4615785
1140001,01140,R,481728,4617953
1150001,01150,R,534553,4590180
1150002,01150,R,527780,4583883
1160001,01160,R,533741.036717,4605335.06156
1160002,01160,R,534231.844,4604020.975
1160003,01160,R,537600,4607400
1160005,01160,R,533741.036717,4605335.06156
1170001,01170,R,608100,4629300
1170002,01170,R,605319.031966,4632242.54852
1170003,01170,R,607534,4633755
1170005,01170,R,605800,4633522
1190001,01190,R,497000,4644200
1200001,01200,R,582292,4610559
1200003,01200,R,581200,4612400
1200004,01200,R,,
1210001,01210,R,611817,4625303
1210002,01210,R,611755.425253,4625216.84169
1210003,01210,R,609300,4624400
1220001,01220,R,614100,4634300
1230002,01230,R,543218.57296,4594229.69288
1230003,01230,R,539400,4592100
1250001,01250,A,529588.28488323,4620355.8237727
1250002,01250,A,532754,4617527
1250004,01250,R,528880,4613408
1250005,01250,A,529588.28488323,4620355.8237727
1270002,01270,R,534553,4638325
1290001,01290,R,489000,4625500
1300001,01300,R,568650,4576043
1300002,01300,R,568334,4575572
1300003,01300,R,568946,4577800
1310001,01310,R,511211.332738,4625082.58935
1310003,01310,R,505700,4625600
1320001,01320,R,516900,4599100
1320002,01320,R,517672,4599780
1330001,01330,R,489864,4599868
1330002,01330,R,503524.733969,4600668.6423
1340001,01340,R,512278,4633208
1340002,01340,R,513748,4632289
1340003,01340,R,512600,4634600
1340004,01340,R,516200,4628300
1340005,01340,R,512600.21,4633472.64
1350001,01350,R,578468,4584775
1350003,01350,R,576400,4584900
1360002,01360,R,511958,4584889
1370001,01370,R,528000,4626200
1370003,01370,R,529300,4627000
1380001,01380,R,494157.70805748,4631260.44
1390001,01390,R,495794,4592720
1390002,01390,R,498800,4592800
1390004,01390,A,489470.78423309,4588646.7569919
1390006,01390,A,493223.09072943,4589632.2355835
1390007,01390,A,489393.1,4588889.617
1390008,01390,A,489373,4588588
1390009,01390,A,489400,4588900
1390010,01390,R,495300,4592800
1400001,01400,R,496114,4611906
1400003,01400,R,494863.274963,4611634.99194
1400005,01400,R,496036,4611765
1400006,01400,R,495000,4611700
1430001,01430,A,549956,4612370
1430003,01430,A,549462.912843,4612030.08415
1430004,01430,R,553800,4612800
1430005,01430,A,549956,4612370
1440001,01440,R,522800,4623800
1440002,01440,R,526288,4623586
1440003,01440,R,521340,4621667
1460001,01460,R,557729,4617225
1460002,01460,R,552600,4618700
1460003,01460,R,557129,4616586
1470001,01470,R,546083,4579510
1470002,01470,R,545414,4578776
1480001,01480,R,475694,4598403
1500001,01500,R,537300,4597200
1500003,01500,R,530925,4597592
1500004,01500,R,533285,4595700
1500006,01500,R,530925,4597592
1500007,01500,R,533800,4597200
1510002,01510,R,565428,4584755
1510003,01510,R,569757.192,4587301.502
1540001,01540,R,499400,4619800
1540002,01540,R,498991,4621979
1560001,01560,R,507500,4645900
1570001,01570,R,488500,4632900
1590001,01590,R,565600,4632200
1590002,01590,R,567200,4632500
1600001,01700,R,497200,4582800
1600002,01600,R,479062.770497,4593472.4745
1600003,01600,R,482000,4590400
1630001,01630,R,602491,4624211
1630003,01630,R,602950,4626326
1630004,01630,R,592900,4618300
1640001,01640,R,538957,4603497
1700003,01700,R,491241,4587147
1700004,01700,R,499900,4582600
1710001,01710,R,599277.59778,4622732.39381
1750001,01750,R,488100,4629900
1800001,01800,R,519100,4590100
1800002,01800,R,519980,4582087
1800003,01800,R,518971.44887676,4591162.3208373
1960001,01960,R,521400,4618200
1960003,01960,R,521152,4619090
1960004,01960,R,521157,4619089
1960005,01960,R,516300,4612800
1980001,01360,R,521300,4577900
2000002,02000,R,361624.221559,4954828.97231
2000003,02000,R,360820.562241,4957005.31713
2000004,02000,R,364013,4956949
2000005,02000,R,364600,4956900
2000007,02000,R,362148,4956959
2000008,02000,R,364900,4958700
2000009,02000,R,370700,4957800
2000010,02000,R,364568.61996276,4956363.2230136
2100001,02100,R,325255.745676,4985840.94628
2100003,02100,R,330106.71352,4984585.04082
2100006,02100,R,329966,4983410
2100008,02100,R,327916,4984389
2100009,02100,R,332345.007,4984272.807
2100011,02100,R,327224.094302,4984766.16546
2100012,02100,R,329100,4986500
2100013,02100,R,326295.970618,4985366.40026
2100014,02100,R,,
2100017,02100,R,330705,4983290
2100018,02100,R,328387,4984226
2100019,02100,R,330117,4984785
2100020,02100,R,329966,4983410
2100021,02100,R,331075.437,4982437.906
2110001,02110,R,346112,4998399
2110002,02110,R,346100,4998600
2110003,02110,R,345431,4998123
2110004,02110,R,345337.16,4998291.82
2120002,02120,R,362952.308716,4990087.69446
2120003,02120,R,362899,4990316
2120004,02120,R,363841,4990249
2120005,02120,R,362591.1,4989592.74
2130001,02130,R,351100,4920100
2130003,02130,A,337046,4907771
2130004,02130,R,350870,4920375
2130005,02130,A,337046,4907771
2130006,02130,A,337046,4907771
2140002,02140,R,390963,4983535
2140003,02140,R,390710,4983354
2140004,02140,R,390542.388726,4984255.98351
2170001,02170,R,378100,5001300
2190001,02190,R,396701,4943489
2190002,02190,A,392632.110989,4944757.66624
2190003,02190,A,392652,4944872
2190004,02190,R,396705,4943488
2190005,02190,A,392761.87076699,4944508.4070022
2200001,02200,R,331490,4936994
